Mutation_value,Km_25,Km_30,Km_35,Km_40,Km_45,Km_50
0.1,50232.825783270455,55037.655233403035,60156.83503470222,67696.39598198689,66660.42200618763,70524.85359550902
0.2,44110.17228335538,47305.5414448219,54087.44507801799,59568.71446851516,59466.16473669768,64201.76456162089
0.30000000000000004,43309.27151892046,46633.92058295518,53139.45751922518,57070.60445651024,58470.104401156,62021.74251045674
0.4,42978.012383149384,48586.587542272784,51490.83860191334,57026.95460430062,55291.31741460186,60487.060765166134
0.5,41662.04579306263,46525.68006201353,51195.50035288427,52940.67939628298,59079.630800300816,59825.29278678006
0.6,41378.94866873112,47395.49716871902,50751.658528049535,54350.31999942613,56718.9535202117,62018.07100505785
0.7000000000000001,41900.25543164271,47948.80759494732,51041.16224343259,54318.76235028583,61686.68996195312,60874.071772748975
0.8,42933.55541965659,48169.410519512196,54620.4532362632,56014.99936477744,60840.099553913955,63185.24019010604
0.9,47866.1276945963,52488.95567232718,54855.799331356284,60578.818907124325,64801.99499791193,68900.24929784142
