Time Delay,Fitness_Sum_HC_IRS_RA,Fitness_Sum_GA_IRS_RA,Fitness_Sum_GA_IRS,Fitness_Sum_RS
1,133301.91893985693,59766.51511673627,44099.04167166801,66516.28981652565
2,108233.36903029136,58257.7436591172,46412.858476880676,73366.14231874887
3,134573.60398809108,58651.20254160148,46899.17885255775,71755.18624762542
4,84119.11823275368,58659.15278824747,48203.1760864209,77231.61211703384
5,98441.20505240392,58971.485898851206,45686.31856143154,64112.9751330848
6,158029.7315837456,55662.782567889735,45576.77297675656,82320.54015794219
7,134387.1545317804,60165.98663651169,46617.94136256439,70693.2123270071
8,111691.12802411271,59029.02414271806,48734.80321210853,75301.52612150754
9,80476.98049300673,56148.958642260586,49363.05635347574,72874.78933589227
10,88223.7899240536,60848.373162533615,45098.66288516411,70530.54886821265
Fitness Improvement(%),45.20291218493204,20.77463677299617,0.0,31.216666236237128
